AESW;Elbgaustraße-Stellingen (Werk S-Bahn);Stell W (S-Bahn);NE-Bft
AEU;Eutin;Eutin;Bf
AF;Flensburg;Flensburg;Bf
AFB;Hamburg-Klein Flottbek;Klein Flottbek;Bf
AFE;Fredenbeck;Fredenbeck;NE-Hp
AFEB;Felde-Brandsbek;Felde-Brandsbek;Bf
AFF;Frelsdorf;Frelsdorf;NE-Hp
AFFB;Fiefbergen;Fiefbergen;NE-Bf
AFK;Fahrenkrug;Fahrenkrug;Bft
AFR;Flensburg Friedensweg;Friedensweg;Abzw
AFRG;Friedrichsgabe;Friedrichsgabe;NE-Hp
AFS;Flensburg Süd;Flensburg Süd;Awanst
AFW;Flensburg Weiche;Flensburg Weiche;Bf
AGEH;Geesthacht;Geesthacht;NE-Bf
AGF;Gettorf;Gettorf;Bf
AGHI;Grüner Hirsch;Grüner Hirsch;Bf
AGNB;Gnarrenburg;Gnarrenburg;NE-Bf
AGNBB;Gnarrenburg Bahnsteig;Gnarrenburg Bstg;NE-Bft
AGNBN;Gnarrenburg Nord;Gnarrenburg Nord;NE-Hp
AGND;Glinde;Glinde;NE-Bf
AGO;Godenstedt;Godenstedt;NE-Bf
AGOE;Göhl;Göhl;Bf
AGR;Groß Schlamin;Groß Schlamin;Bf
AGRO;Großenbrode;Großenbrode;Bf
AGSA;Großenaspe;Großenaspe;NE-Bf
AGST;Glückstadt;Glückstadt;Bf
AGTH;Geestenseth;Geestenseth;NE-Bf
AGUE;Güster;Güster;Bf
AH;Hamburg Hbf;Hamburg Hbf;Bf
AHAB;Hamburg-Hammerbrook;Hammerbrook;Bft
AHAN;Handeloh;Handeloh;Bf
AHAR;Hamburg-Harburg;Hmb-Harburg;Bf
AHARB;Hamburg-Harburg Bbf;Hmb-Harburg Bbf;Bft
AHARH;Hamburg-Harburg Betriebsbahnhof Süd;Hmb-Harb Bbf Süd;Bft
AHB;Hamburg Unterelbe;Hmb Unterelbe;Bf
AHBI;Hamburg-Billwerder;Hmb-Billwerder;Bf
AHBIA;Hamburg-Billwerder-Moorfleet (Abzw);Billwerder-Moorf;Bft Abzw
AHBIU;Hamburg-Billwerder Ubf;Hmb-Billwerd Ubf;Bft
AHBR;Hamburg-Hausbruch;Hmb-Hausbruch;Bf
AHBRM;Hamburg-Hausbruch Mitte;Hausbruch Mitte;NE-Bft
AHBS;Hamburg Süd;Hamburg Süd;NE-Bft
AHBSP;Hamburg Süd Peute;Peute;NE-Bft
AHDH;Heudorf-Hüttendorf;Heudorf-Hüttendf;NE-Hp
AHDN;Heidenau (Kr.Harburg);Heidenau (Harb);NE-Bf
AHE;Hemmingstedt;Hemmingstedt;Bf
AHEL;Heeslingen;Heeslingen;NE-Bf
AHFD;Harsefeld;Harsefeld;NE-Bf
AHGN;Hagen (Kr Stade);Hagen (Kr Stade);NE-Hp
AHI;Heide (Holst);Heide (Holst);Bf
